Country or region,Overall rank,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Population,Median agein years,Life expectancyin years,GDP,Population under 20 years old in %
Algeria,100,5.005,0.944,1.143,0.745,0.084,0.119,0.129,43851044.0,28.9,76.9,41395385.536,37.4
Senegal,101,4.981,0.504,0.955,0.518,0.352,0.164,0.082,16743927.0,19.4,67.9,8438939.208,53.1
Guinea,102,4.949,0.39,0.751,0.334,0.372,0.249,0.112,13132795.0,19.1,61.5,5121790.05,54.6
Niger,103,4.91,0.108,0.704,0.299,0.435,0.208,0.138,24206644.0,14.8,62.4,2614317.552,60.6
Laos,104,4.889,0.715,0.987,0.486,0.612,0.273,0.194,7275560.0,,,5202025.399999999,
Albania,105,4.883,0.907,0.83,0.846,0.462,0.171,0.025,2877797.0,34.3,78.6,2610161.879,24.2
Cambodia,106,4.848,0.545,1.071,0.588,0.675,0.233,0.073,16718965.0,26.4,69.8,9111835.925,39.7
Bangladesh,107,4.833,0.556,0.869,0.695,0.604,0.177,0.177,164689383.0,,,91567296.94800001,
Gabon,108,4.829,0.988,1.106,0.523,0.369,0.052,0.056,2225734.0,,,2199025.192,
South Africa,109,4.814,0.902,1.259,0.407,0.435,0.126,0.06,59308690.0,28.0,64.3,53496438.38,37.1
Iraq,110,4.785,0.982,1.011,0.529,0.284,0.153,0.073,40222493.0,,,39498488.126,
Lebanon,111,4.772,0.889,1.192,0.789,0.186,0.159,0.022,6825445.0,33.7,79.0,6067820.605,33.5
Burkina Faso,112,4.769,0.302,0.929,0.313,0.322,0.186,0.126,20903273.0,17.9,61.5,6312788.4459999995,55.4
Gambia,113,4.751,0.257,0.883,0.353,0.403,0.426,0.158,2416668.0,,,621083.676,
Mali,114,4.729,0.352,0.973,0.235,0.378,0.17,0.062,20250833.0,16.0,59.3,7128293.216,58.1
Nigeria,115,4.724,0.646,0.987,0.168,0.435,0.221,0.048,206139589.0,18.6,54.7,133166174.494,54.1
Armenia,116,4.677,0.808,1.035,0.776,0.378,0.107,0.105,2963243.0,,,2394300.344,
Georgia,117,4.673,0.847,0.731,0.695,0.485,0.048,0.174,3989167.0,,,3378824.449,
Iran,118,4.672,1.029,0.886,0.749,0.301,0.277,0.143,83992949.0,,,86428744.521,
Jordan,119,4.633,0.785,1.14,0.778,0.425,0.091,0.152,10203134.0,23.5,74.6,8009460.19,43.1
Mozambique,120,4.624,0.179,0.955,0.324,0.561,0.22,0.163,31255435.0,17.0,60.8,5594722.865,55.4
Kenya,121,4.583,0.476,0.905,0.536,0.519,0.394,0.067,53771296.0,,,25595136.895999998,
Namibia,122,4.571,0.84,1.246,0.407,0.445,0.076,0.054,2540905.0,21.8,63.7,2134360.1999999997,46.5
Ukraine,123,4.561,0.78,1.321,0.699,0.319,0.179,0.01,43733762.0,41.2,72.3,34112334.36,20.5
Liberia,124,4.558,0.174,0.921,0.392,0.406,0.227,0.051,5057681.0,18.0,64.1,880036.494,51.3
Palestine,125,4.553,0.588,1.195,0.614,0.299,0.092,0.072,,,,,
Uganda,126,4.432,0.312,1.052,0.378,0.402,0.265,0.064,45741007.0,15.7,63.3,14271194.184,57.5
Chad,127,4.423,0.302,0.739,0.109,0.229,0.211,0.086,16425864.0,16.1,54.3,4960610.928,57.8
Tunisia,128,4.392,0.875,0.872,0.781,0.236,0.056,0.044,11818619.0,,,10341291.625,
Mauritania,129,4.375,0.54,1.113,0.425,0.186,0.129,0.122,4649658.0,21.0,64.9,2510815.3200000003,49.8
Sri Lanka,130,4.327,0.898,1.195,0.792,0.529,0.253,0.049,21413249.0,33.7,77.1,19229097.602,31.5
DR Congo,131,4.311,0.062,0.833,0.277,0.365,0.254,0.081,89561403.0,,,5552806.986,
Swaziland,132,4.308,0.828,1.065,0.216,0.3,0.067,0.147,,,,,
Myanmar,133,4.308,0.678,1.098,0.495,0.597,0.57,0.188,54409800.0,,,36889844.400000006,
Comoros,134,4.289,0.416,0.723,0.437,0.181,0.259,0.1,869601.0,20.9,64.3,361754.016,49.3
Togo,135,4.187,0.268,0.548,0.343,0.304,0.201,0.115,8278724.0,,,2218698.032,
Ethiopia,136,4.186,0.315,1.001,0.484,0.413,0.228,0.117,114963588.0,19.8,66.6,36213530.22,51.2
Madagascar,137,4.166,0.245,0.824,0.501,0.193,0.191,0.076,27691018.0,20.3,67.1,6784299.41,50.9
Egypt,138,4.151,0.875,0.983,0.597,0.374,0.069,0.095,102334404.0,24.1,72.0,89542603.5,42.4
Sierra Leone,139,3.926,0.241,0.748,0.204,0.382,0.258,0.048,7976983.0,19.1,54.7,1922452.903,51.3
Burundi,140,3.775,0.0,0.404,0.295,0.275,0.187,0.212,11890784.0,17.7,61.6,0.0,55.5
Zambia,141,3.759,0.537,0.896,0.364,0.491,0.251,0.087,18383955.0,16.9,63.9,9872183.835,55.6
Haiti,142,3.721,0.285,0.647,0.374,0.169,0.464,0.162,11402528.0,,,3249720.4799999995,
Lesotho,143,3.653,0.455,1.089,0.101,0.409,0.103,0.05,2142249.0,,,974723.295,
India,144,3.573,0.731,0.644,0.541,0.581,0.237,0.106,1380004385.0,28.7,69.7,1008783205.435,35.3
Malawi,145,3.538,0.177,0.53,0.446,0.487,0.213,0.132,19129952.0,16.8,64.3,3386001.5039999997,54.4
Yemen,146,3.527,0.393,1.177,0.415,0.244,0.095,0.087,29825964.0,19.8,66.1,11721603.852,49.6
Botswana,147,3.479,0.998,1.086,0.494,0.509,0.033,0.102,2351627.0,25.7,69.5,2346923.746,43.0
Tanzania,148,3.476,0.457,0.873,0.443,0.509,0.272,0.204,59734218.0,18.2,65.4,27298537.626000002,54.3
Central African Republic,149,3.476,0.041,0.0,0.0,0.293,0.254,0.028,4829767.0,,,198020.44700000001,
Rwanda,150,3.312,0.343,0.523,0.572,0.604,0.236,0.486,12952218.0,19.7,69.0,4442610.774,49.9
Zimbabwe,151,3.299,0.426,1.048,0.375,0.377,0.151,0.081,14862924.0,20.5,61.4,6331605.624,52.9
South Sudan,152,2.817,0.289,0.553,0.209,0.066,0.21,0.111,11193725.0,18.6,57.9,3234986.525,52.1
Afghanistan,153,2.567,0.301,0.356,0.266,0.0,0.135,0.001,38928346.0,19.5,64.8,11717432.146,53.7
